City,City Name
abhaneri,abhaneri
abhayapuri,abhayapuri
abiramam,abiramam
abohar,abohar
abu,abu
abu road,abu-road
achalpur,achalpur
achhnera,achhnera
adalaj,adalaj
adampur,adampur
addanki,addanki
adilabad,adilabad
adoni,adoni
adur,adur
aduturai,aduturai
afzalgarh,afzalgarh
afzalpur,afzalpur
agartala,agartala
ahiri,ahiri
ahmadabad,ahmadabad
ahmadnagar,ahmadnagar
ahmadpur,ahmadpur
ahraura,ahraura
ahwa,ahwa
airoli,airoli
aistala,aistala
aizawl,aizawl
ajaigarh,ajaigarh
ajjampur,ajjampur
ajmer,ajmer
ajnala,ajnala
ajra,ajra
akalgarh,akalgarh
akalkot,akalkot
akaltara,akaltara
akbarpur,akbarpur
akhnur,akhnur
akividu,akividu
akkarampalle,akkarampalle
aklera,aklera
akodia,akodia
akola,akola
akot,akot
alagapuram,alagapuram
alampur,alampur
aland,aland
alandi,alandi
alandur,alandur
alanganallur,alanganallur
alangayam,alangayam
alangudi,alangudi
alangulam,alangulam
alappakkam,alappakkam
alawalpur,alawalpur
aldona,aldona
alibag,alibag
aliganj,aliganj
aligarh,aligarh
alipur,alipur
allahabad,allahabad
bamhrauli,allahabad-bamhrauli
allahganj,allahganj
allapalli,allapalli
alleppey,alleppey
almora,almora
alnavar,alnavar
along,along
alot,alot
alur,alur
aluva,aluva
alwar,alwar
tirunagari,alwar-tirunagari
alwaye,alwaye
amalapuram,amalapuram
amalner,amalner
amanganj,amanganj
amanpur,amanpur
amarkantak,amarkantak
amarnath,amarnath
amarpatan,amarpatan
amarpur,amarpur
amarwara,amarwara
ambad,ambad
ambagarh,ambagarh-chauki
ambah,ambah
ambahta,ambahta
ambajogai,ambajogai
ambala,ambala
ambasa,ambasa
ambasamudram,ambasamudram
ambattur,ambattur
ambikapur,ambikapur
ambur,ambur
amet,amet
amethi,amethi
amguri,amguri
amla,amla
amlagora,amlagora
amli,amli
amloh,amloh
ammapettai,ammapettai
amod,amod
amravati,amravati
amreli,amreli
amritsar,amritsar
amroha,amroha
amroli,amroli
amta,amta
amtala,amtala
amudalavalasa,amudalavalasa
anaimalai,anaimalai
anakapalle,anakapalle
anand,anand
anandnagar,anandnagar
anandpur-sahib,anandpur-sahib
anantapur,anantapur
anantnag,anantnag
andippatti,andippatti
andiyur,andiyur
andol,andol
anekal,anekal
angamali,angamali
angul,angul
anjad,anjad
anjangaon,anjangaon
anjar,anjar
ankleshwar,ankleshwar
ankola,ankola
annamalainagar,annamalainagar
annavasal,annavasal
annigeri,annigeri
annur,annur
anshing,anshing
antri,antri
antu,antu
anupgarh,anupgarh
anuppur,anuppur
anupshahr,anupshahr
aonla,aonla
arakkonam,arakkonam
arambagh,arambagh
arambol,arambol
arang,arang
arangaon,arangaon
arantangi,arantangi
araria,araria
aravankadu,aravankadu
arcot,arcot
arimalam,arimalam
ariyalur,ariyalur
arkalgud,arkalgud
arki,arki
arnia,arnia
arsikere,arsikere
arukutti,arukutti
arumbavur,arumbavur
arumuganeri,arumuganeri
aruppukkottai,aruppukkottai
arvi,arvi
asandh,asandh
asansol,asansol
asarganj,asarganj
ashoknagar,ashoknagar
kalyangarh,ashoknagar-kalyangarh
ashta,ashta
ashti,ashti
asifabad,asifabad
asika,asika
asind,asind
atarra,atarra
ateli,ateli
athagarh,athagarh
athni,athni
atirampattinam,atirampattinam
atmakur,atmakur
atrauli,atrauli
atraulia,atraulia
attayyampatti,attayyampatti
attingal,attingal
attur,attur
aurad,aurad
auraiya,auraiya
aurangabad,aurangabad
chikalthan,aurangabad-chikalthan-aerodrome
auras,auras
auroville,auroville
ausa,ausa
avadi,avadi
avanashi,avanashi
avanigadda,avanigadda
avanoor,avanoor
awantipur,awantipur
ayakkudi,ayakkudi
ayodhya,ayodhya
ayyampettai,ayyampettai
azamgarh,azamgarh
babai,babai
baberu,baberu
babina,babina
babra,babra
babrala,babrala
babugarh,babugarh
bachhraon,bachhraon
bachhrawan,bachhrawan
barabil,bada-barabil
badagara,badagara
badami,badami
badarpur,badarpur
badarwas,badarwas
baddi,baddi
badhni kalan,badhni-kalan
badlapur,badlapur
badnawar,badnawar
baduria,baduria
badvel,badvel
bagaha,bagaha
bagalkot,bagalkot
bagar,bagar
bagasra,bagasra
bagepalli,bagepalli
bageshwar,bageshwar
bagh,bagh
bagha purana,bagha-purana
baghdogra,baghdogra
baghpat,baghpat
bagli,bagli
bagnan,bagnan
bagra,bagra
bagula,bagula
bah,bah
bahadurganj,bahadurganj
bahadurgarh,bahadurgarh
baharampur,baharampur
baheri,baheri
bahjoi,bahjoi
bahraich,bahraich
bahsuma,bahsuma
bahua,bahua
bahula,bahula
baidyabati,baidyabati
baihar,baihar
baikanthpur,baikanthpur
baikunthpur,baikunthpur
bail hongal,bail-hongal
baindur,baindur
bairagnia,bairagnia
baj-baj,baj-baj
bakani,bakani
bakewar,bakewar
bakhtiyarpur,bakhtiyarpur
bakloh,bakloh
bakreswar,bakreswar
bakswaho,bakswaho
balachor,balachor
balaghat,balaghat
balangir,balangir
balapur,balapur
balarampur,balarampur
balasore,balasore
baldeo,baldeo
baldeogarh,baldeogarh
bali chak,bali-chak
balimela,balimela
ballalpur,ballalpur
balod,balod
baloda,baloda
baloda bazar,baloda-bazar
balotra,balotra
balrampur,balrampur
balugaon,balugaon
balurghat,balurghat
bambolim,bambolim
bamboo flat,bamboo-flat
bamnia,bamnia
bamor kalan,bamor-kalan
bamora,bamora
banapur,banapur
banat,banat
banavar,banavar
banbasa,banbasa
banda,banda
bandikui,bandikui
bandipura,bandipura
bandora,bandora
bangalore-arp,bangalore-arp
banganapalle,banganapalle
bangaon,bangaon
bangarapet,bangarapet
bangarmau,bangarmau
banihal,banihal
banjar,banjar
banka,banka
banki,banki
bankra,bankra
bankura,bankura
banmankhi,banmankhi
bannur,bannur
banposh,banposh
bansbaria,bansbaria
bansdih,bansdih
bansgaon,bansgaon
bansi,bansi
banswada,banswada
banswara,banswara
bantva,bantva
bantval,bantval
banur,banur
bapatla,bapatla
bar bigha,bar-bigha
bara bazar,bara-bazar
baragaon,baragaon
barakpur,barakpur
baramati,baramati
baramula,baramula
baranagar,baranagar
barasat,barasat
barauli,barauli
baraut,baraut
barbil,barbil
barddhaman,barddhaman
bardoli,bardoli
bareilly,bareilly
barela,barela
bargarh,bargarh
barghat,barghat
bargi,bargi
barh,barh
barhi,barhi
barhiya,barhiya
bari-sadri,bari-sadri
bariarpur,bariarpur
barjala,barjala
barjora,barjora
barka kana,barka-kana
barkhera,barkhera
barki saria,barki-saria
barkot,barkot
barmer,barmer
barnala,barnala
barpali,barpali
barpathar,barpathar
barpeta,barpeta
barpeta road,barpeta-road
barsana,barsana
barsi,barsi
baruipur,baruipur
baruni,baruni
barwadih,barwadih
barwala,barwala
barwani,barwani
basar,basar
basavakalyan,basavakalyan
basavana bagevadi,basavana-bagevadi
basi,basi
basmat,basmat
basna,basna
basni,basni
basoda,basoda
basti,basti
basudebpur,basudebpur
basugaon,basugaon
baswa,baswa
batala,batala
batoti,batoti
bauda,bauda
bawal,bawal
bawali,bawali
bawana,bawana
bayana,bayana
bazpur,bazpur
beawar,beawar
bedi,bedi
begamganj,begamganj
begampur,begampur
begowal,begowal
begun,begun
begusarai,begusarai
behat,behat
behror,behror
bela,bela
belaguntha,belaguntha
beldanga,beldanga
belgaum,belgaum
belgaum sambra,belgaum-sambra
beliator,beliator
bellampalli,bellampalli
bellary,bellary
belluru,belluru
belonia,belonia
belsand,belsand
beltangadi,beltangadi
belthara,belthara
belur,belur
bemetara,bemetara
benares,benares
benaulim,benaulim
bengalore,bengalore
beniganj,beniganj
beohari,beohari
berasia,berasia
beri khas,beri-khas
beswan,beswan
betamcherla,betamcherla
betma,betma
bettiah,bettiah
betul,betul
betul bazar,betul-bazar
bewar,bewar
beypore,beypore
bhabhra,bhabhra
bhabua,bhabua
bhachau,bhachau
bhadarwah,bhadarwah
bhadasar,bhadasar
bhadaur,bhadaur
bhadohi,bhadohi
bhadra,bhadra
bhadrachalam,bhadrachalam
bhadrakh,bhadrakh
bhadravati,bhadravati
bhadreswar,bhadreswar
bhagalpur,bhagalpur
bhagwantnagar,bhagwantnagar
bhainsdehi,bhainsdehi
bhaisa,bhaisa
bhalki,bhalki
bhandara,bhandara
bhandardaha,bhandardaha
bhander,bhander
bhanjanagar,bhanjanagar
bhanpura,bhanpura
bhanpuri,bhanpuri
bhanvad,bhanvad
bharthana,bharthana
bharuch,bharuch
bharwari,bharwari
bhasawar,bhasawar
bhatapara,bhatapara
bhatgaon,bhatgaon
bhatinda,bhatinda
bhatkal,bhatkal
bhatpara,bhatpara
bhattiprolu,bhattiprolu
bhaunagar,bhaunagar
bhavani,bhavani
bhavnagar,bhavnagar
bhawaniganj,bhawaniganj
bhawanigarh,bhawanigarh
bhawanipatna,bhawanipatna
bhayavadar,bhayavadar
bhigvan,bhigvan
bhikangaon,bhikangaon
bhikhi,bhikhi
bhilai,bhilai
bhilwara,bhilwara
bhimtal,bhim-tal
bhimavaram,bhimavaram
bhimunipatnam,bhimunipatnam
bhind,bhind
bhindar,bhindar
bhinga,bhinga
bhinmal,bhinmal
bhitarwar,bhitarwar
bhiwadi,bhiwadi
bhiwandi,bhiwandi
bhiwani,bhiwani
bhogpur,bhogpur
bhojudih,bhojudih
bholath,bholath
bhongaon,bhongaon
bhongir,bhongir
bhopal,bhopal
bairagarh,bhopal-bairagarh
bhor,bhor
bhowali,bhowali
bhuban,bhuban
bhubaneshwar,bhubaneshwar
bhubaneswar,bhubaneswar
bhudgaon,bhudgaon
bhuj,bhuj
rudramata,bhuj-rudramata
bhum,bhum
bhusawal,bhusawal
bhuvanagiri,bhuvanagiri
biaora,biaora
bidar,bidar
bidhuna,bidhuna
bighapur,bighapur
bihar-sharif,bihar-sharif
bihariganj,bihariganj
bihpuriagaon,bihpuriagaon
bijapur,bijapur
bijawar,bijawar
bijbiara,bijbiara
bijni,bijni
bijnor,bijnor
bijroni,bijroni
bikaner,bikaner
bikapur,bikapur
bikramganj,bikramganj
bilara,bilara
bilari,bilari
